Month,City,State,Latitude,Longitude,Air Quality Index,AQI Category,Observations
April,Limbang,Sarawak,4.755074,115.005516,31,Good,720
April,Minden,Penang,5.35372,100.3017647,52,Moderate,720
April,Miri,Sarawak,4.38,113.98,38,Good,720
April,Mukah,Sarawak,2.899697,112.093447,30,Good,720
April,Nilai,Negeri Sembilan,2.802455,101.7988711,65,Moderate,720
April,Paka,Terengannu,4.6541463,103.4228783,36,Good,698
April,Pasir Gudang,Johor,4.626581,103.4399588,59,Moderate,720
April,Pegoh Ipoh,Perak,4.65,101.1,54,Moderate,720
April,Pengerang,Johor,1.8285,104.127,54,Moderate,720
April,Petaling Jaya,Selangor,3.127887,101.59449,64,Moderate,720
April,Port Dickson,Negeri Sembilan,2.52254,101.796295,55,Moderate,701
April,Putrajaya,Selangor,2.926361,101.696445,54,Moderate,720
April,Rompin,Pahang,2.785,103.456,33,Good,720
April,Samalaju,Sarawak,3.57471,113.3165,42,Good,720
April,Samarahan,Sarawak,1.0536,110.3496,38,Good,699
April,Sandakan,Sabah,5.84,118.1287,35,Good,720
April,Sarikei,Sarawak,2.117813,111.5212111,31,Good,720
April,Seberang Jaya,Penang,5.3748,100.3913,60,Moderate,720
April,Seberang Perai,Penang,5.3801,100.407,51,Moderate,720
April,Segamat,Johor,2.5141,102.7613,52,Moderate,720
April,Seremban,Negeri Sembilan,2.7297,101.9381,73,Moderate,720
April,Seri Manjung,Perak,4.18,100.65,47,Good,720
April,Shah Alam,Selangor,3.08507,101.533,64,Moderate,720
April,Sibu,Sarawak,2.2907,111.8356,35,Good,702
April,Sri Aman,Sarawak,1.237031,111.462079,40,Good,720
April,Sungai Petani,Kedah,5.2425,100.4825,53,Moderate,720
April,Taiping,Perak,4.8477,100.74,47,Good,720
April,Tanah Merah,Kelantan,5.8,102,51,Moderate,720
April,Tangkak,Johor,2.175,102.6142,50,Good,720
April,Tanjung Malim,Perak,3.679539,101.52027,47,Good,720
April,Tasek Ipoh,Perak,5.662357,100.968498,57,Moderate,720
April,Tawau,Sabah,4.25,118.25,44,Good,700
April,Temerloh,Pahang,3.5128,102.4273,42,Good,720
May,Alor Gajah,Malacca,2.3804,102.2089,54,Moderate,156
May,Alor Setar,Kedah,6.1248,100.367821,41,Good,156
May,Balik Pulau,Penang,5.350316,100.2349501,48,Good,156
May,Balok Baru Kuantan,Pahang,3.99097,103.376106,38,Good,156
May,Bandaraya Melaka,Malacca,2.205685,102.256155,58,Moderate,145
May,Banting,Selangor,2.812252,101.4977732,57,Moderate,156
May,Batu Muda,Kuala Lumpur,3.213372,101.6859031,55,Moderate,156
May,Batu Pahat,Johor,1.8548,102.9325,44,Good,156
May,Besut,Terengganu,5.820089,102.537666,47,Good,156
May,Bintulu,Sarawak,3.194335,113.095322,45,Good,156
May,Bukit Rambai,Malacca,2.2667,102.2667,58,Moderate,156
May,Cheras,Kuala Lumpur,3.11155,101.71477,51,Moderate,156
May,Indera Mahkota Kuantan,Pahang,3.8337344,103.266983,40,Good,144
May,Jerantut,Pahang,3.937395,102.362038,53,Moderate,156
May,Kangar,Perlis,6.4414,100.199,44,Good,156
May,Kapit,Sarawak,2.01667,112.93333,34,Good,156
May,Kemaman,Terengganu,4.73,103.44,37,Good,156
May,Keningau,Sabah,5.3378,116.16,32,Good,156
May,Kimanis,Sabah,5.1186,118.065,22,Good,156
May,Klang,Selangor,3.0314,101.4597,61,Moderate,156
May,Kluang,Johor,2.02,103.02,44,Good,156
May,Kota Bharu,Kelantan,6.1347,102.2435,59,Moderate,156
May,Kota Kinabalu,Sabah,5.9803,116.0736,37,Good,156
May,Kota Tinggi,Johor,1.729375,103.899227,40,Good,155
May,Kuala Selangor,Selangor,3.3490877,101.2467116,63,Moderate,156
May,Kuala Terengganu,Terengganu,5.33,103.08,64,Moderate,156
May,Kuching,Sarawak,1.55,110.35,33,Good,156
May,Kulim,Kedah,5.38945,100.563431,37,Good,156
May,Labuan,Sabah,5.267,115.25,57,Moderate,156
May,Langkawi,Kedah,6.260488,99.736169,28,Good,156
May,Larkin,Johor,1.4987,103.7456,54,Moderate,156
May,Limbang,Sarawak,4.755074,115.005516,31,Good,156
May,Minden,Penang,5.35372,100.3017647,42,Good,156
May,Miri,Sarawak,4.38,113.98,50,Good,156
May,Mukah,Sarawak,2.899697,112.093447,28,Good,156
May,Nilai,Negeri Sembilan,2.802455,101.7988711,78,Moderate,156
May,Paka,Terengannu,4.6541463,103.4228783,28,Good,156
May,Pasir Gudang,Johor,4.626581,103.4399588,54,Moderate,156
May,Pegoh Ipoh,Perak,4.65,101.1,54,Moderate,156
May,Pengerang,Johor,1.8285,104.127,57,Moderate,156
May,Petaling Jaya,Selangor,3.127887,101.59449,55,Moderate,156
May,Port Dickson,Negeri Sembilan,2.52254,101.796295,49,Good,135
May,Putrajaya,Selangor,2.926361,101.696445,48,Good,131
May,Rompin,Pahang,2.785,103.456,35,Good,156
May,Samalaju,Sarawak,3.57471,113.3165,39,Good,156
May,Samarahan,Sarawak,1.0536,110.3496,34,Good,156
May,Sandakan,Sabah,5.84,118.1287,27,Good,156
May,Sarikei,Sarawak,2.117813,111.5212111,32,Good,156
May,Seberang Jaya,Penang,5.3748,100.3913,56,Moderate,156
May,Seberang Perai,Penang,5.3801,100.407,45,Good,156
May,Segamat,Johor,2.5141,102.7613,38,Good,156
May,Seremban,Negeri Sembilan,2.7297,101.9381,62,Moderate,156
May,Seri Manjung,Perak,4.18,100.65,49,Good,156
May,Shah Alam,Selangor,3.08507,101.533,59,Moderate,156
May,Sibu,Sarawak,2.2907,111.8356,33,Good,156
May,Sri Aman,Sarawak,1.237031,111.462079,46,Good,156
May,Sungai Petani,Kedah,5.2425,100.4825,56,Moderate,156
May,Taiping,Perak,4.8477,100.74,49,Good,156
May,Tanah Merah,Kelantan,5.8,102,45,Good,156
May,Tangkak,Johor,2.175,102.6142,34,Good,156
May,Tanjung Malim,Perak,3.679539,101.52027,46,Good,156
May,Tasek Ipoh,Perak,5.662357,100.968498,57,Moderate,156
May,Tawau,Sabah,4.25,118.25,46,Good,156
May,Temerloh,Pahang,3.5128,102.4273,47,Good,156
